timestamp,symbol,exchange,bid_price,ask_price,last_price,bid_volume,ask_volume,trading_day,limit_up,limit_down,volume,open_interest
2026-08-21T09:00:00+08:00,m2609,DCE,3009.5,3010.5,3010,50,50,20260821,3400,2600,20000,80000
2026-08-21T09:00:00+08:00,m2701,DCE,2999.5,3000.5,3000,50,50,20260821,3400,2600,22000,90000
2026-08-21T09:01:00+08:00,m2609,DCE,3010.5,3011.5,3011,50,50,20260821,3400,2600,20000,80000
2026-08-21T09:01:00+08:00,m2701,DCE,2999.5,3000.5,3000,50,50,20260821,3400,2600,22000,90000
2026-08-21T09:02:00+08:00,m2609,DCE,3009.5,3010.5,3010,50,50,20260821,3400,2600,20000,80000
2026-08-21T09:02:00+08:00,m2701,DCE,2999.5,3000.5,3000,50,50,20260821,3400,2600,22000,90000
2026-08-21T09:03:00+08:00,m2609,DCE,3024.5,3025.5,3025,50,50,20260821,3400,2600,20000,80000
2026-08-21T09:03:00+08:00,m2701,DCE,2999.5,3000.5,3000,50,50,20260821,3400,2600,22000,90000
2026-08-21T09:04:00+08:00,m2609,DCE,3009.5,3010.5,3010,50,50,20260821,3400,2600,20000,80000
2026-08-21T09:04:00+08:00,m2701,DCE,2999.5,3000.5,3000,50,50,20260821,3400,2600,22000,90000
2026-08-21T09:05:00+08:00,m2609,DCE,3009.5,3010.5,3010,50,50,20260821,3400,2600,20000,80000
2026-08-21T09:05:00+08:00,m2701,DCE,2999.5,3000.5,3000,50,50,20260821,3400,2600,22000,90000
