timestamp,symbol,exchange,bid_price,ask_price,last_price,bid_volume,ask_volume,trading_day,limit_up,limit_down,volume,open_interest
2026-08-21T09:05:00+08:00,m2609,DCE,3009.5,3010.5,3010,30,30,20260821,3400,2600,10000,51000
2026-08-21T09:05:00+08:00,m2701,DCE,2999.5,3000.5,3000,35,35,20260821,3400,2600,12000,56000
2026-08-21T09:06:00+08:00,m2609,DCE,3009.5,3010.5,3010,30,30,20260821,3400,2600,10000,51000
2026-08-21T09:06:00+08:00,m2701,DCE,2999.5,3000.5,3000,35,35,20260821,3400,2600,12000,56000
2026-08-21T09:07:00+08:00,m2609,DCE,3009.5,3010.5,3010,30,30,20260821,3400,2600,10000,51000
2026-08-21T09:07:00+08:00,m2701,DCE,2999.5,3000.5,3000,35,35,20260821,3400,2600,12000,56000
2026-08-21T09:08:00+08:00,m2609,DCE,3019.5,3020.5,3020,30,30,20260821,3400,2600,10000,51000
2026-08-21T09:08:00+08:00,m2701,DCE,2999.5,3000.5,3000,35,35,20260821,3400,2600,12000,56000
2026-08-21T09:09:00+08:00,m2609,DCE,3009.5,3010.5,3010,30,30,20260821,3400,2600,10000,51000
2026-08-21T09:09:00+08:00,m2701,DCE,2999.5,3000.5,3000,35,35,20260821,3400,2600,12000,56000
